date_profiled,tag_number,live_weight,breed,color,gender,teeth,checked_by_vet,vaccinated,district
2021.06.28,201,225,Deshal,Red,Male,2,Yes,Yes,Nilphamari
2021.06.28,202,224,Deshal,Black and Grey,Male,2,Yes,Yes,Nilphamari
2021.06.28,204,172,Deshal,White,Male,2,Yes,Yes,Nilphamari
2021.06.28,206,192,Deshal,Red,Male,2,Yes,Yes,Nilphamari
2021.06.28,207,213,Deshal,Grey and Red,Male,4,Yes,Yes,Nilphamari
2021.06.28,208,219,Deshal,Black and Brown,Male,4,Yes,Yes,Nilphamari
2021.07.05,209,204,Deshal,Black and Red,Male,4,Yes,Yes,Nilphamari
2021.06.28,210,170,Deshal,Black,Male,2,Yes,Yes,Nilphamari
2021.06.28,211,160,Deshal,Black and Brown,Male,2,Yes,Yes,Nilphamari
2021.06.28,212,191,Deshal,Black,Male,4,Yes,Yes,Nilphamari
2021.06.28,213,191,Deshal,Brown,Male,2,Yes,Yes,Nilphamari
2021.06.28,214,180,Deshal,Black,Male,2,Yes,Yes,Nilphamari
2021.06.28,215,204,Deshal,Red,Male,4,Yes,Yes,Nilphamari
2021.06.28,216,212,Deshal,Black,Male,4,Yes,Yes,Nilphamari
2021.06.28,217,193,Deshal,Black and White,Male,2,Yes,Yes,Nilphamari
2021.06.28,218,192,Deshal,Black and Brown,Male,2,Yes,Yes,Nilphamari
2021.06.28,219,206,Deshal,Black and Grey,Male,4,Yes,Yes,Nilphamari
2021.06.28,220,219,Deshal,Red,Male,2,Yes,Yes,Nilphamari
2021.06.28,222,205,Deshal,Red,Male,2,Yes,Yes,Nilphamari
2021.06.28,223,186,Deshal,Black,Male,4,Yes,Yes,Nilphamari
2021.07.05,224,241,Deshal,Red,Male,2,Yes,Yes,Nilphamari
2021.06.28,225,193,Deshal,Black and Brown,Male,2,Yes,Yes,Nilphamari
2021.06.28,226,194,Deshal,Black and Red,Male,2,Yes,Yes,Nilphamari
2021.06.28,227,267,Deshal,Red,Male,4,Yes,Yes,Nilphamari
2021.06.28,230,212,Deshal,Black,Male,2,Yes,Yes,Nilphamari
2021.06.28,231,201,Deshal,Brown,Male,2,Yes,Yes,Nilphamari
2021.06.28,232,215,Deshal,Red,Male,4,Yes,Yes,Nilphamari
2021.06.28,233,230,Deshal,Black and Brown,Male,2,Yes,Yes,Nilphamari
